epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,17121.4,1.0413,2.08289,1.40453,1.0958,0.53103,0.3121,0.2991,0.21032,0.56179,0.29387,0.28616,0.18085,0.97637,2.00893,1.22164,1.0544,0.005149,0.005149,0.005149
51,17462.5,1.03907,2.07889,1.39817,1.09355,0.53589,0.31338,0.29984,0.21104,0.5643,0.29444,0.28692,0.18157,0.97549,2.00725,1.22038,1.05384,0.00505,0.00505,0.00505
52,17803.6,1.04082,2.07946,1.39397,1.09399,0.53789,0.31112,0.30023,0.21121,0.56165,0.29657,0.28726,0.18209,0.97509,2.00565,1.219,1.0533,0.004951,0.004951,0.004951
53,18144.8,1.0358,2.07657,1.39494,1.09408,0.53765,0.31272,0.3005,0.21171,0.53237,0.29928,0.28737,0.182,0.97447,2.00419,1.21725,1.05264,0.004852,0.004852,0.004852
54,18485.8,1.03433,2.07336,1.38919,1.09201,0.53944,0.31449,0.30163,0.21241,0.52915,0.30062,0.28858,0.1826,0.97398,2.00284,1.216,1.05203,0.004753,0.004753,0.004753
55,18826.8,1.03137,2.06868,1.38421,1.09047,0.53869,0.31474,0.30106,0.21231,0.52746,0.30271,0.28809,0.1823,0.97369,2.00196,1.21417,1.05167,0.004654,0.004654,0.004654
56,19168,1.0296,2.06585,1.38036,1.08893,0.5417,0.31854,0.30149,0.21277,0.53198,0.30639,0.28818,0.18265,0.97337,1.99981,1.21285,1.05127,0.004555,0.004555,0.004555
57,19509.1,1.02999,2.06475,1.3796,1.09082,0.54786,0.31293,0.30139,0.21268,0.5361,0.30114,0.28811,0.18258,0.97283,1.9984,1.21152,1.05082,0.004456,0.004456,0.004456
58,19850.2,1.03133,2.0626,1.38106,1.0902,0.54736,0.31528,0.30185,0.21281,0.53519,0.30231,0.28868,0.18295,0.97216,1.99624,1.20989,1.05009,0.004357,0.004357,0.004357
59,20191.3,1.02482,2.04584,1.3731,1.08726,0.53894,0.32011,0.30231,0.21314,0.53477,0.30491,0.28913,0.18341,0.97195,1.99523,1.20835,1.04971,0.004258,0.004258,0.004258
60,20532.3,1.02508,2.05322,1.36969,1.08675,0.5352,0.31969,0.3029,0.21359,0.5396,0.30429,0.28992,0.18386,0.97148,1.99319,1.20704,1.04936,0.004159,0.004159,0.004159
61,20873.5,1.02554,2.05796,1.36873,1.08606,0.54409,0.31632,0.30407,0.21434,0.53526,0.30592,0.29093,0.18452,0.97084,1.99231,1.2058,1.04887,0.00406,0.00406,0.00406
62,21214.3,1.02101,2.04373,1.36123,1.08462,0.52269,0.31703,0.30449,0.21428,0.53464,0.30601,0.29106,0.1846,0.97091,1.99089,1.20481,1.04864,0.003961,0.003961,0.003961
63,21555.2,1.02023,2.04124,1.36287,1.08564,0.52518,0.31551,0.30492,0.21484,0.5142,0.3053,0.29156,0.18502,0.97066,1.98908,1.20367,1.04833,0.003862,0.003862,0.003862
64,21896.4,1.02059,2.03928,1.36136,1.08381,0.49464,0.31897,0.30573,0.21541,0.5177,0.30602,0.29218,0.18545,0.97019,1.98772,1.20282,1.04801,0.003763,0.003763,0.003763
65,22237.6,1.0163,2.03586,1.35285,1.0821,0.49788,0.31625,0.30601,0.21616,0.4893,0.30708,0.29284,0.18594,0.96941,1.98586,1.20154,1.04757,0.003664,0.003664,0.003664
66,22578.3,1.01371,2.0295,1.34906,1.08142,0.49945,0.31678,0.30686,0.21655,0.51625,0.30507,0.29311,0.18609,0.96913,1.98456,1.20052,1.04739,0.003565,0.003565,0.003565
67,22919.3,1.01146,2.02321,1.34686,1.08004,0.5001,0.31763,0.30709,0.21675,0.51362,0.30627,0.29364,0.18647,0.96827,1.98311,1.19882,1.04657,0.003466,0.003466,0.003466
68,23260.1,1.01017,2.02094,1.34785,1.07944,0.52278,0.3169,0.3087,0.21748,0.51328,0.30699,0.29391,0.18682,0.96771,1.98181,1.19816,1.04608,0.003367,0.003367,0.003367
69,23600.9,1.01017,2.02086,1.34169,1.07977,0.51968,0.31972,0.30903,0.21799,0.51426,0.30687,0.29448,0.18721,0.96736,1.98088,1.19705,1.04569,0.003268,0.003268,0.003268
70,23942.2,1.00662,2.01585,1.33473,1.07724,0.52956,0.31947,0.30963,0.2181,0.52212,0.30959,0.2949,0.18765,0.96656,1.97887,1.19592,1.04503,0.003169,0.003169,0.003169
71,24283,1.00518,2.01127,1.33899,1.07813,0.53045,0.31999,0.3103,0.21819,0.52414,0.30968,0.29563,0.188,0.96606,1.97796,1.1949,1.04474,0.00307,0.00307,0.00307
72,24624,1.00112,2.00588,1.32965,1.07495,0.53283,0.31969,0.31157,0.21905,0.52433,0.30906,0.29632,0.1885,0.96543,1.97666,1.19335,1.04449,0.002971,0.002971,0.002971
73,24964.6,1.00168,2.0019,1.32806,1.07558,0.53635,0.3201,0.31227,0.21962,0.5268,0.30971,0.29698,0.18891,0.96519,1.97543,1.19243,1.0442,0.002872,0.002872,0.002872
74,25305.7,1.00241,2.00623,1.32819,1.07456,0.53908,0.31935,0.31293,0.22058,0.52812,0.30917,0.29766,0.18925,0.96477,1.973,1.19112,1.04377,0.002773,0.002773,0.002773
75,25647,0.9999,2.00203,1.32199,1.07355,0.53992,0.319,0.31388,0.2209,0.52741,0.30962,0.29849,0.18982,0.96429,1.9713,1.1896,1.04331,0.002674,0.002674,0.002674
76,25987.7,0.99535,1.99355,1.31523,1.07206,0.53326,0.31937,0.31407,0.22152,0.52153,0.30831,0.2987,0.1902,0.96397,1.97006,1.18884,1.04302,0.002575,0.002575,0.002575
77,26328.7,0.99555,1.98893,1.31518,1.07157,0.53724,0.32226,0.31468,0.22215,0.52513,0.30952,0.29931,0.19055,0.96393,1.9688,1.18799,1.04281,0.002476,0.002476,0.002476
78,26669.7,0.99195,1.98193,1.30908,1.06941,0.53319,0.32434,0.31513,0.22252,0.52215,0.31317,0.30003,0.19099,0.96314,1.96661,1.18659,1.04225,0.002377,0.002377,0.002377
79,27010.8,0.9906,1.98477,1.30886,1.0691,0.52775,0.33043,0.31614,0.22363,0.52036,0.31722,0.301,0.19186,0.96223,1.96501,1.18576,1.04145,0.002278,0.002278,0.002278
80,27351.7,0.98954,1.97681,1.3018,1.06733,0.53092,0.33028,0.31678,0.22397,0.51918,0.31918,0.30178,0.1922,0.96148,1.96397,1.18483,1.04092,0.002179,0.002179,0.002179
81,27692.5,0.9853,1.97773,1.30069,1.06691,0.54101,0.3306,0.31784,0.22473,0.53095,0.31951,0.30306,0.19293,0.96091,1.96296,1.18418,1.04048,0.00208,0.00208,0.00208
82,28033.4,0.98401,1.96759,1.2938,1.06557,0.54111,0.33181,0.31774,0.2246,0.52986,0.32131,0.30268,0.19287,0.9603,1.962,1.18289,1.03986,0.001981,0.001981,0.001981
83,28374.4,0.98206,1.96763,1.28976,1.06414,0.54631,0.32941,0.31842,0.22491,0.53552,0.31876,0.30351,0.19326,0.95973,1.96042,1.18191,1.03944,0.001882,0.001882,0.001882
84,28715.3,0.98117,1.961,1.2874,1.06434,0.54955,0.32914,0.31914,0.22554,0.53556,0.31886,0.30438,0.19392,0.95945,1.95919,1.18107,1.03899,0.001783,0.001783,0.001783
85,29056.3,0.97753,1.95446,1.27962,1.06221,0.55072,0.33201,0.31996,0.2261,0.5381,0.32038,0.30517,0.19445,0.95933,1.95833,1.17999,1.0388,0.001684,0.001684,0.001684
86,29397.2,0.9755,1.94906,1.28145,1.06118,0.55151,0.33152,0.32046,0.22674,0.53813,0.32009,0.30538,0.19477,0.95932,1.95739,1.17941,1.03865,0.001585,0.001585,0.001585
87,29745.3,0.97126,1.94302,1.27333,1.05993,0.54757,0.33347,0.32101,0.22697,0.53812,0.31949,0.30579,0.19487,0.95926,1.9564,1.17858,1.0384,0.001486,0.001486,0.001486
88,30102.1,0.97081,1.94059,1.27185,1.05939,0.5474,0.3338,0.32145,0.22742,0.53407,0.32348,0.30608,0.19501,0.9589,1.95576,1.17767,1.03803,0.001387,0.001387,0.001387
89,30460,0.96773,1.9372,1.26501,1.05719,0.55035,0.33414,0.32222,0.22776,0.5339,0.32224,0.30639,0.19567,0.95873,1.9542,1.17668,1.03762,0.001288,0.001288,0.001288
90,30807.7,0.96626,1.93457,1.25876,1.05709,0.52627,0.33417,0.32227,0.22787,0.53439,0.32101,0.30635,0.1957,0.95854,1.95332,1.17585,1.03742,0.001189,0.001189,0.001189
91,31135.5,0.98501,1.94408,1.20849,1.06812,0.52463,0.33506,0.32295,0.22839,0.51374,0.32272,0.30706,0.19622,0.95838,1.95197,1.17506,1.03716,0.00109,0.00109,0.00109
92,31461.7,0.97971,1.92953,1.19651,1.06603,0.52926,0.33733,0.32384,0.22923,0.52022,0.32457,0.30828,0.19707,0.95809,1.95045,1.17473,1.03686,0.000991,0.000991,0.000991
93,31788,0.97398,1.91684,1.18779,1.06151,0.52821,0.33797,0.3245,0.2294,0.51798,0.32526,0.3087,0.1974,0.9575,1.94876,1.17365,1.03636,0.000892,0.000892,0.000892
94,32114.1,0.96999,1.91181,1.18051,1.06016,0.53355,0.33745,0.32502,0.22985,0.5216,0.32491,0.30913,0.19783,0.95729,1.94709,1.17283,1.03604,0.000793,0.000793,0.000793
95,32443.2,0.96578,1.9054,1.17299,1.05691,0.52303,0.34023,0.32576,0.23043,0.5226,0.32434,0.31001,0.19818,0.9569,1.94542,1.17168,1.03562,0.000694,0.000694,0.000694
96,32783.4,0.96144,1.89564,1.16586,1.05439,0.52668,0.33991,0.3265,0.2311,0.51708,0.3286,0.31063,0.19854,0.95631,1.94352,1.17071,1.0352,0.000595,0.000595,0.000595
97,33122.6,0.95872,1.88931,1.16014,1.05368,0.52985,0.3404,0.32684,0.23103,0.52004,0.32697,0.31099,0.19875,0.95599,1.94182,1.16953,1.03498,0.000496,0.000496,0.000496
98,33456.5,0.95571,1.88242,1.15369,1.05117,0.52959,0.34292,0.32724,0.23198,0.52285,0.32838,0.31215,0.19912,0.95559,1.94045,1.16843,1.03455,0.000397,0.000397,0.000397
99,33782.9,0.95212,1.8771,1.14586,1.04829,0.53046,0.34459,0.32814,0.23166,0.52182,0.32931,0.31236,0.19936,0.95531,1.93869,1.1672,1.03412,0.000298,0.000298,0.000298
100,34116.7,0.9483,1.87142,1.13991,1.0479,0.52766,0.34473,0.32885,0.23243,0.51936,0.33138,0.3132,0.2,0.95496,1.9378,1.16607,1.03371,0.000199,0.000199,0.000199
